date_key,date,tmin,tmax,tavg,prcp,snow
20220326,26-03-2022,-5.5,-0.5,-3,0,0
20220327,27-03-2022,-7.7,0,-3.85,0,0
20220328,28-03-2022,-9.9,2.2,-3.85,0,0
20220329,29-03-2022,-3.2,4.4,0.6,0,0
20220330,30-03-2022,1.7,11.7,6.7,22.1,0
20220331,31-03-2022,-2.1,1.7,-0.2,9.4,3
20220401,01-04-2022,-4.9,7.8,1.45,0,3
20220402,02-04-2022,0.6,3.9,2.25,7.4,0
20220403,03-04-2022,-1.6,8.9,3.65,7.1,0
20220404,04-04-2022,2.8,6.7,4.75,1.3,0
20220405,05-04-2022,3.3,11.7,7.5,10.4,0
20220406,06-04-2022,3.3,10.6,6.95,2.5,0
20220407,07-04-2022,1.1,7.2,4.15,1.3,0
20220408,08-04-2022,0,2.2,1.1,0.5,0
20220409,09-04-2022,-1,11.1,5.05,0,0
20220410,10-04-2022,-2.1,16.1,7,0,0
20220411,11-04-2022,2.8,17.8,10.3,0,0
20220412,12-04-2022,-0.5,18.9,9.2,2.3,0
20220413,13-04-2022,1.7,18.9,10.3,13.2,0
20220414,14-04-2022,0.6,5.6,3.1,0,0
20220415,15-04-2022,-0.5,5,2.25,0,0
20220416,16-04-2022,-2.7,6.1,1.7,0,0
20220417,17-04-2022,-4.3,8.3,2,0,0
20220418,18-04-2022,0,3.9,1.95,3.3,3
20220419,19-04-2022,-0.5,10,4.75,0,0
20220420,20-04-2022,5,10,7.5,3.6,0
20220421,21-04-2022,3.3,19.4,11.35,0,0
20220422,22-04-2022,2.8,11.1,6.95,23.4,0
20220423,23-04-2022,10,27.2,18.6,0,0
20220424,24-04-2022,9.4,21.1,15.25,1.3,0
20220425,25-04-2022,2.8,9.4,6.1,0,0
20220426,26-04-2022,-2.1,6.7,2.3,0,0
20220427,27-04-2022,-2.7,7.2,2.25,0,0
20220428,28-04-2022,1.7,9.4,5.55,1,0
20220429,29-04-2022,5,17.8,11.4,1.5,0
20220430,30-04-2022,8.9,17.2,13.05,8.9,0
20220501,01-05-2022,8.3,12.2,10.25,0,0
20220502,02-05-2022,6.7,10.6,8.65,0,0
20220503,03-05-2022,1.1,9.4,5.25,8.9,0
20220504,04-05-2022,0,16.1,8.05,0,0
20220505,05-05-2022,3.9,17.8,10.85,0,0
20220506,06-05-2022,7.8,18.3,13.05,0,0
20220507,07-05-2022,2.8,20.6,11.7,0,0
20220508,08-05-2022,7.2,16.1,11.65,0,0
20220509,09-05-2022,13.9,28.3,21.1,0,0
20220510,10-05-2022,20,32.2,26.1,0.5,0
20220511,11-05-2022,21.1,32.8,26.95,0,0
20220512,12-05-2022,22.8,34.4,28.6,0,0
20220513,13-05-2022,18.9,33.3,26.1,4.3,0
20220514,14-05-2022,15,30,22.5,0,0
20220515,15-05-2022,15,23.9,19.45,0.5,0
20220516,16-05-2022,10.6,24.4,17.5,0,0
20220517,17-05-2022,7.2,20,13.6,0,0
20220518,18-05-2022,9.4,16.7,13.05,3.3,0
20220519,19-05-2022,11.7,27.8,19.75,0.5,0
20220520,20-05-2022,11.7,22.2,16.95,2.3,0
20220521,21-05-2022,8.9,17.8,13.35,0,0
20220522,22-05-2022,6.7,16.1,11.4,0,0
20220523,23-05-2022,3.3,17.8,10.55,0,0
20220524,24-05-2022,5,17.8,11.4,0,0
20220525,25-05-2022,11.1,18.3,14.7,36.8,0
20220526,26-05-2022,15.6,23.9,19.75,7.4,0
20220527,27-05-2022,11.7,21.1,16.4,0,0
20220528,28-05-2022,11.1,22.2,16.65,0,0
20220529,29-05-2022,16.1,30,23.05,0,0
20220530,30-05-2022,20.6,32.2,26.4,0,0
20220531,31-05-2022,20,27.8,23.9,0,0
20220601,01-06-2022,13.3,22.8,18.05,0,0
20220602,02-06-2022,10,24.4,17.2,0,0
20220603,03-06-2022,8.3,23.9,16.1,0,0
20220604,04-06-2022,7.8,17.8,12.8,1.3,0
20220605,05-06-2022,13.9,23.9,18.9,9.7,0
20220606,06-06-2022,12.2,20.6,16.4,11.9,0
20220607,07-06-2022,10,24.4,17.2,0,0
20220608,08-06-2022,9.4,16.1,12.75,21.6,0
20220609,09-06-2022,9.4,25,17.2,0,0
20220610,10-06-2022,11.1,25,18.05,1,0
20220611,11-06-2022,14.4,21.7,18.05,1.8,0
20220612,12-06-2022,13.9,24.4,19.15,0,0
20220613,13-06-2022,12.2,26.1,19.15,12.2,0
20220614,14-06-2022,18.3,35.6,26.95,0,0
20220615,15-06-2022,19.4,33.9,26.65,34.8,0
20220616,16-06-2022,17.8,31.1,24.45,0,0
20220617,17-06-2022,15.6,27.8,21.7,0,0
20220618,18-06-2022,11.7,24.4,18.05,0,0
20220619,19-06-2022,10.6,28.9,19.75,0,0
20220620,20-06-2022,21.1,33.3,27.2,0,0
20220621,21-06-2022,22.2,34.4,28.3,0,0
20220622,22-06-2022,16.7,28.9,22.8,0,0
20220623,23-06-2022,13.9,30.6,22.25,0,0
20220624,24-06-2022,20,32.2,26.1,0,0
20220625,25-06-2022,19.4,23.9,21.65,5.6,0
20220626,26-06-2022,16.1,23.9,20,0,0
20220627,27-06-2022,12.8,25,18.9,0,0
20220628,28-06-2022,13.3,28.3,20.8,2.3,0
20220629,29-06-2022,14.4,30,22.2,0,0
20220630,30-06-2022,22.8,32.2,27.5,0,0
20220701,01-07-2022,18.3,26.7,22.5,0,0
20220702,02-07-2022,12.8,28.9,20.85,0,0
20220703,03-07-2022,15,30.6,22.8,0,0
20220704,04-07-2022,17.8,26.7,22.25,19.6,0
20220705,05-07-2022,20.6,31.7,26.15,48.5,0
20220706,06-07-2022,20,27.2,23.6,0.3,0
20220707,07-07-2022,17.2,29.4,23.3,0,0
20220708,08-07-2022,16.7,26.7,21.7,1,0
20220709,09-07-2022,14.4,26.1,20.25,0,0
20220710,10-07-2022,11.7,27.2,19.45,2.5,0
20220711,11-07-2022,19.4,30.6,25,0,0
20220712,12-07-2022,17.8,28.3,23.05,0,0
20220713,13-07-2022,16.7,26.1,21.4,0,0
20220714,14-07-2022,12.8,26.7,19.75,0,0
20220715,15-07-2022,16.1,23.9,20,14,0
20220716,16-07-2022,16.1,27.2,21.65,0,0
20220717,17-07-2022,17.2,30,23.6,0,0
20220718,18-07-2022,16.1,31.1,23.6,0,0
20220719,19-07-2022,22.8,30.6,26.7,0,0
20220720,20-07-2022,21.7,28.3,25,0,0
20220721,21-07-2022,19.4,31.7,25.55,0,0
20220722,22-07-2022,15.6,31.1,23.35,0,0
20220723,23-07-2022,21.7,32.2,26.95,31.8,0
20220724,24-07-2022,17.8,28.3,23.05,12.2,0
20220725,25-07-2022,14.4,25,19.7,0,0
20220726,26-07-2022,15.6,27.2,21.4,0,0
20220727,27-07-2022,20,27.8,23.9,7.1,0
20220728,28-07-2022,17.8,25.6,21.7,0.8,0
20220729,29-07-2022,15,26.1,20.55,0,0
20220730,30-07-2022,13.3,27.8,20.55,0,0
20220731,31-07-2022,16.1,27.8,21.95,0,0
20220801,01-08-2022,17.2,27.8,22.5,8.9,0
20220802,02-08-2022,15,30.6,22.8,0,0
20220803,03-08-2022,20.6,28.3,24.45,13.5,0
20220804,04-08-2022,17.2,28.9,23.05,0,0
20220805,05-08-2022,13.9,30,21.95,0,0
20220806,06-08-2022,22.2,32.8,27.5,27.4,0
20220807,07-08-2022,22.2,27.2,24.7,16.8,0
20220808,08-08-2022,15.6,25,20.3,10.2,0
20220809,09-08-2022,12.8,26.7,19.75,0,0
20220810,10-08-2022,14.4,28.3,21.35,0,0
20220811,11-08-2022,14.4,26.1,20.25,0,0
20220812,12-08-2022,11.7,19.4,15.55,0.5,0
20220813,13-08-2022,18.3,22.8,20.55,0.3,0
20220814,14-08-2022,16.1,22.2,19.15,0,0
20220815,15-08-2022,13.3,25.6,19.45,0,0
20220816,16-08-2022,12.8,26.7,19.75,0,0
20220817,17-08-2022,11.1,27.8,19.45,0,0
20220818,18-08-2022,13.3,27.2,20.25,0,0
20220819,19-08-2022,17.8,26.1,21.95,0.3,0
20220820,20-08-2022,17.8,23.3,20.55,4.6,0
20220821,21-08-2022,15.6,26.1,20.85,0,0
20220822,22-08-2022,11.1,27.2,19.15,0,0
20220823,23-08-2022,14.4,28.3,21.35,0,0
20220824,24-08-2022,14.4,27.8,21.1,4.3,0
20220825,25-08-2022,17.8,26.1,21.95,47.2,0
